Pool ID,AlphaCode,NumericCode,Lat,Long,HH,P1 (max),P2,P3,Mean pool depth,Deeper than recorded
EPO1,EPO,1,43.533078,-79.779308,0,1.32,0.648,0.778,0.915,Yes
EPO2a,EPO,2a,43.532097,-79.778056,1,0.573,0.483,0.388,0.481,
EPO2b,EPO,2b,43.530339,-79.778029,1,1.063,0.454,0.402,0.64,
EPO2c,EPO,2c,43.529869,-79.776664,1,0.851,0.744,0.458,0.684,
EPO3,EPO,3,43.529356,-79.777007,1,0.967,0.481,0.507,0.652,
EPO4,EPO,4,43.529212,-79.777695,0,0.735,0.432,0.432,0.533,
EPO6,EPO,6,43.52829,-79.77688,0,0.877,0.457,0.505,0.613,
EPO7,EPO,7,43.527384,-79.775984,0,0.637,0.356,0.414,0.469,
EPO8,EPO,8,43.526651,-79.775636,0,0.695,0.461,0.383,0.513,
EPO10,EPO,10,43.525329,-79.777086,0,0.442,0.321,0.369,0.377,
EPO11,EPO,11,43.525,-79.777801,0,0.645,0.512,0.372,0.51,
EPO13,EPO,13,43.52176,-79.777222,0,0.748,0.471,0.325,0.515,
EPO14,EPO,14,43.519445,-79.779492,3,0.528,0.412,0.344,0.428,
EPO16,EPO,16,43.517385,-79.778937,0,0.487,0.397,0.349,0.411,
EPO17,EPO,17,43.516136,-79.777128,1,0.717,0.451,0.385,0.518,
EPO18,EPO,18,43.515884,-79.776586,2,0.546,0.386,0.351,0.428,
EPO21,EPO,21,43.514906,-79.776691,1,0.554,0.401,0.333,0.429,
EPO25,EPO,25,43.512118,-79.773146,0,0.744,0.35,0.365,0.486,
EPO29,EPO,29,43.51,-79.774233,3,0.565,0.477,0.41,0.484,
EPO30,EPO,30,43.509382,-79.774695,0,0.743,0.435,0.521,0.566,
EPO31,EPO,31,43.508616,-79.773148,0,0.545,0.359,0.463,0.456,
EPO32,EPO,32,43.508456,-79.770968,2,0.474,0.488,0.33,0.431,
EPO34,EPO,34,43.507523,-79.770256,0,0.604,0.376,0.397,0.459,
EPO37,EPO,37,43.506035,-79.770546,0,0.482,0.32,0.399,0.4,
EPO38,EPO,38,43.505615,-79.770789,0,0.595,0.428,0.474,0.499,
EPO42,EPO,42,43.502119,-79.771282,0,0.568,0.367,0.339,0.425,
EPO43,EPO,43,43.500796,-79.771107,0,0.529,0.449,0.379,0.452,
EPO45,EPO,45,43.500211,-79.773365,1,0.681,0.521,0.586,0.596,
EPO46,EPO,46,43.500128,-79.774518,0,0.881,0.412,0.522,0.605,
EPO47,EPO,47,43.499573,-79.77677,0,1.31,0.373,0.52,0.734,Yes
EPO48,EPO,48,43.497923,-79.776257,1,0.608,0.39,0.372,0.457,
EPO49,EPO,49,43.497557,-79.775456,1,0.515,0.462,0.361,0.446,
EPO50,EPO,50,43.495879,-79.773625,0,1.106,0.318,0.393,0.606,
EPO51,EPO,51,43.494829,-79.774282,0,0.663,0.411,0.439,0.504,
EPO52,EPO,52,43.494076,-79.773724,0,0.669,0.365,0.403,0.479,
EPO54,EPO,54,43.493686,-79.771296,0,0.48,0.375,0.323,0.393,
EPO56,EPO,56,43.494203,-79.770325,0,0.618,0.442,0.387,0.482,
EPO57,EPO,57,43.494816,-79.769925,0,0.939,0.547,0.484,0.657,
EPO58,EPO,58,43.494804,-79.768506,1,0.638,0.388,0.417,0.481,
EPO60,EPO,60,43.494858,-79.764081,0,0.674,0.39,0.527,0.53,
EPO61,EPO,61,43.493385,-79.764341,0,0.568,0.397,0.475,0.48,
EPO62,EPO,62,43.491955,-79.764926,0,0.948,0.345,0.568,0.62,
EPO64,EPO,64,43.489108,-79.765029,2,0.535,0.408,0.35,0.431,
EPO66,EPO,66,43.48839,-79.766331,0,0.712,0.379,0.465,0.519,
EPO67,EPO,67,43.4883,-79.767333,2,0.789,0.493,0.459,0.58,
EPO70,EPO,70,43.486683,-79.769715,0,0.554,0.355,0.294,0.401,
ERU19,ERU,19,43.51560401,-79.77644904,7,0.585,0.39,0.381,0.452,
ERU20,ERU,20,43.51530402,-79.77665498,12,0.474,0.33,0.366,0.39,
ERU41,ERU,41,43.50305404,-79.77303601,4,0.479,0.39,0.328,0.399,
PO1,PO,1,43.483664,-79.773286,1,0.427,0.381,0.227,0.345,
PO2,PO,2,43.482853,-79.773455,0,1.09,0.614,0.715,0.806,
PO3 ,PO,3,43.48121,-79.775546,0,0.693,0.505,0.511,0.57,
PO4a,PO,4a,43.481823,-79.777641,0,1.276,0.601,0.354,0.744,
PO4b,PO,4b,43.481477,-79.777366,0,1.072,0.581,0.368,0.674,
PO5,PO,5,43.481486,-79.779543,0,0.6,0.372,0.524,0.499,
PO6,PO,6,43.481726,-79.779895,2,0.371,0.262,0.256,0.296,
PO7,PO,7,43.481482,-79.780169,0,0.736,0.632,0.335,0.568,
PO10,PO,10,43.478049,-79.780219,0,0.518,0.308,0.399,0.408,
PO12,PO,12,43.477903,-79.783295,0,0.695,0.457,0.443,0.532,
PO17,PO,17,43.475597,-79.787437,0,0.599,0.5,0.398,0.499,
PO18,PO,18,43.474827,-79.788535,3,0.801,0.348,0.44,0.53,
PO20,PO,20,43.473321,-79.790738,1,0.81,0.597,0.624,0.677,
PO21,PO,21,43.471819,-79.789463,0,1.15,0.713,0.494,0.786,
PO22,PO,22,43.471477,-79.788673,1,1.11,0.551,0.329,0.663,
PO26,PO,26,43.469595,-79.786546,0,1.284,0.92,0.537,0.914,
PO29,PO,29,43.464037,-79.785662,3,0.719,0.365,0.324,0.469,
PO30,PO,30,43.466468,-79.784649,2,0.751,0.474,0.387,0.537,
PO31,PO,31,43.466906,-79.783037,2,0.82,0.376,0.567,0.588,
PO34,PO,34,43.461798,-79.779306,1,0.995,0.73,0.521,0.749,
PO37,PO,37,43.461905,-79.775421,0,1.135,0.543,0.427,0.702,Yes
PO38,PO,38,43.460863,-79.774604,1,1.139,0.73,0.453,0.774,Yes
PO40,PO,40,43.460895,-79.773159,2,0.735,0.719,0.382,0.612,
PO41,PO,41,43.461584,-79.771791,0,1.157,0.744,0.359,0.753,
PO43,PO,43,43.461175,-79.768292,0,1.041,0.306,0.426,0.591,
PO44,PO,44,43.459446,-79.768173,0,0.77,0.56,0.454,0.595,
PO46,PO,46,43.458776,-79.76645,0,0.823,0.734,0.55,0.702,
PO49,PO,49,43.460578,-79.762461,0,1.073,0.455,0.637,0.722,
PO50,PO,50,43.461785,-79.760613,0,1.015,0.944,0.647,0.869,
PO51,PO,51,43.460872,-79.76035,0,0.893,0.764,0.73,0.796,
PO53,PO,53,43.461059,-79.75875,2,0.872,0.75,0.54,0.721,
PO56,PO,56,43.461681,-79.755584,1,1.249,0.833,0.5,0.861,
PO58,PO,58,43.460837,-79.753752,1,1.124,0.773,0.582,0.826,
PO103,PO,103,43.450858,-79.707371,3,1.215,0.117,0.951,0.761,
RU5,RU,5,43.48168898,-79.777939,4,0.55,0.461,0.325,0.445,
RU21,RU,21,43.472444,-79.79064404,26,0.642,0.351,0.511,0.501,
