Field Number,Site,Date,Latitude,Longitude,Year,WV,Depth,Air_Temp,Water_Temp,Conductivity,DO,pH,Type
SSSU-2011130611-101B,SSSU-2011130611-1,13-Jun-11,43.45609,-79.72903,2011,0.22,1,19.5,16.33,667,11.39,8.5,Run
SSSU-2011130611-102B,SSSU-2011130611-1,13-Jun-11,43.45563,-79.73224,2011,0.41,0.18,,,,,,Riffle
SSSU-2011130611-103B,SSSU-2011130611-1,13-Jun-11,43.45485,-79.73469,2011,0.16,0.63,,,,,,Pool
SSSU-2011130611-201B,SSSU-2011130611-2,13-Jun-11,43.45826,-79.73993,2011,0.65,0.72,17.8,17.75,648,11.16,8.7,Run
SSSU-2011130611-202B,SSSU-2011130611-2,13-Jun-11,43.45751,-79.74546,2011,1.03,0.34,,,,,,Riffle
SSSU-2011130611-203B,SSSU-2011130611-2,13-Jun-11,43.45793,-79.74899,2011,0.31,0.86,,,,,,Pool
SSSU-2011140611-101B,SSSU-2011140611-1,14-Jun-11,43.46126,-79.75742,2011,0.95,0.47,17.3,15.88,672,11.19,8.54,Riffle
SSSU-2011140611-102B,SSSU-2011140611-1,14-Jun-11,43.46091,-79.76044,2011,0.06,1.1,,,,,,Pool
SSSU-2011140611-103B,SSSU-2011140611-1,14-Jun-11,43.45977,-79.76369,2011,0.65,0.83,,,,,,Run
SSSU-2011140611-201B,SSSU-2011140611-2,14-Jun-11,43.46175,-79.77062,2011,0.99,0.42,20,19.42,655,12.1,8.77,Riffle
SSSU-2011140611-202B,SSSU-2011140611-2,14-Jun-11,43.46212,-79.77578,2011,0,0.69,,,,,,Pool
SSSU-2011140611-203B,SSSU-2011140611-2,14-Jun-11,43.4639,-79.78055,2011,0.91,0.65,,,,,,Run
SSSU-2011150611-101B,SSSU-2011150611-1,15-Jun-11,43.46591,-79.78667,2011,0.84,0.43,19.2,16.23,680,10.92,8.53,Riffle
SSSU-2011150611-102B,SSSU-2011150611-1,15-Jun-11,43.46903,-79.78696,2011,0.69,0.75,21.6,16.88,679,11.22,8.56,Run
SSSU-2011150611-103B,SSSU-2011150611-1,15-Jun-11,43.47147,-79.78829,2011,,,29.1,19.5,634,12.37,8.52,Pool
SSSU-2011150611-201B,SSSU-2011150611-2,15-Jun-11,43.47312,-79.79076,2011,0.53,0.14,27,20.5,598,12.37,,Riffle
SSSU-2011150611-202B,SSSU-2011150611-2,15-Jun-11,43.47496,-79.78858,2011,0.31,0.65,26.2,21.91,598,11.29,8.42,Pool
SSSU-2011150611-203B,SSSU-2011150611-2,15-Jun-11,43.47767,-79.78187,2011,0.76,1.2,26.7,22.36,591,11.24,8.56,Run
SSSU-2011160611-101B,SSSU-2011160611-1,16-Jun-11,43.48164,-79.77831,2011,0.57,0.24,20.1,18.86,627,11.2,8.43,Riffle
SSSU-2011160611-102B,SSSU-2011160611-1,16-Jun-11,43.48327,-79.77345,2011,0.03,0.73,23.1,20.12,627,11.2,8.52,Pool
SSSU-2011160611-103B,SSSU-2011160611-1,16-Jun-11,43.48883,-79.76538,2011,0.4,0.36,23.4,20.81,60,12.24,8.6,Run
SSSU-2011160611-201B,SSSU-2011160611-2,16-Jun-11,43.49476,-79.76896,2011,0,1.15,24.3,22.7,616,13.4,8.63,Pool
SSSU-2011160611-202B,SSSU-2011160611-2,16-Jun-11,43.49541,-79.77395,2011,0.3,0.24,24.7,24.16,605,13.6,8.68,Riffle
SSSU-2011160611-203B,SSSU-2011160611-2,16-Jun-11,43.50099,-79.7708,2011,0.35,0.63,25,25.75,588,11.27,8.74,Run
2016-SSSU110716-101A,2016-SSSU110716-1,11-Jul-16,43.45629,-79.72897,2016,0.2,0.36,19.6,22.062,1948.1,10.65,9.27,Riffle
2016-SSSU110716-102A,2016-SSSU110716-1,11-Jul-16,43.45679,-79.72968,2016,0.1,0.43,20.3,25.01,2065.1,11.77,8.93,Run
2016-SSSU110716-103A,2016-SSSU110716-1,11-Jul-16,43.45693,-79.73015,2016,0.64,0.65,19.5,27.234,2138,12.31,8.99,Run
2016-SSSU110716-104A,2016-SSSU110716-1,11-Jul-16,43.45482,-79.73292,2016,0.04,0.9,25.7,26.74,2112.4,11.78,8.99,Pool
2016-SSSU120716-101A,2016-SSSU120716-1,12-Jul-16,43.45758,-79.7422,2016,0.02,0.68,19.3,21.293,1889.9,7.78,8.73,Pool
2016-SSSU120716-102A,2016-SSSU120716-1,12-Jul-16,43.45773,-79.74228,2016,0.59,0.19,20.2,21.95,1920.5,9.39,8.84,Riffle
2016-SSSU120716-103A,2016-SSSU120716-1,12-Jul-16,43.45796,-79.74245,2016,0.07,0.93,20.5,23.8,1985.7,10.34,8.91,Run
2016-SSSU120716-104A,2016-SSSU120716-1,12-Jul-16,43.45806,-79.74375,2016,0.16,0.68,21.5,26.27,2068.6,11.3,9.15,Run
2016-SSSU190716-101A,2016-SSSU190716-1,19-Jul-16,43.48376,-79.77333,2016,0.21,0.47,25.5,23.44,2005,11.18,8.88,Run
2016-SSSU190716-102A,2016-SSSU190716-1,19-Jul-16,43.48385,-79.77313,2016,0.31,0.37,25.5,23.47,2006.1,11.18,8.98,Run
2016-SSSU190716-103A,2016-SSSU190716-1,19-Jul-16,43.48401,-79.77288,2016,0.26,0.16,25.5,23.52,2007.2,11.31,9.01,Riffle
2016-SSSU190716-104A,2016-SSSU190716-1,19-Jul-16,43.48324,-79.77346,2016,0.05,0.85,25.5,26.55,2111.2,11.25,9.1,Pool
